time,s1,s2
0.0,0.1,0.0
0.01,0.09930244429410194,6.975557058980603E-4
0.02,0.09860975442823802,0.0013902455717619828
0.03,0.09792189645736925,0.0020781035426307515
0.04,0.09723883667981663,0.002761163320183365
0.05,0.09656054162525306,0.0034394583747469373
0.06,0.09588697805654291,0.004113021943457095
0.07,0.09521811296901543,0.004781887030984564
0.08,0.09455391358710546,0.005446086412894528
0.09,0.09389434734216823,0.006105652657831757
0.1,0.0932393819030175,0.006760618096982485
0.11,0.09258898517503839,0.007411014824961596
0.12,0.09194312528975813,0.008056874710241845
0.13,0.09130177060317453,0.008698229396825451
0.14,0.09066488969408426,0.009335110305915726
0.15,0.09003245136241128,0.009967548637588693
0.16,0.08940442462753528,0.010595575372464704
0.17,0.08878077872661992,0.011219221273380058
0.18,0.08816148311294136,0.01183851688705861
0.19,0.08754650745421658,0.012453492545783406
0.2,0.08693582163093169,0.01306417836906829
0.21,0.08632939573467047,0.013670604265329525
0.22,0.08572720006644258,0.01427279993355741
0.23,0.08512920511208107,0.01487079488791892
0.24,0.0845353815511399,0.015464618448860074
0.25,0.08394570028893038,0.016054299711069617
0.26,0.0833601324320639,0.016639867567936086
0.27,0.08277864928667503,0.01722135071332497
0.28,0.08220122235668631,0.01779877764331368
0.29,0.08162782334207346,0.018372176657926533
0.3,0.08105842413713027,0.018941575862869726
0.31,0.08049299682873373,0.01950700317126626
0.32,0.07993151369460903,0.020068486305390952
0.33,0.0793739472015946,0.02062605279840539
0.34,0.0788202700039071,0.021179729996092894
0.35,0.0782704549414065,0.021729545058593484
0.36,0.07772447503786112,0.022275524962138877
0.37,0.07718230354460472,0.02281769645539526
0.38,0.07664391401740053,0.023356085982599455
0.39,0.0761092800868976,0.023890719913102387
0.4,0.07557837555676218,0.024421624443237793
0.41,0.07505117441218367,0.024948825587816307
0.42,0.07452765081840054,0.02547234918159945
0.43,0.07400777911922639,0.025992220880773593
0.44,0.073491533835576,0.026508466164423983
0.45,0.07297888966399127,0.027021110336008708
0.46,0.07246982147516728,0.027530178524832687
0.47,0.07196430431247831,0.02803569568752166
0.48,0.0714623133905038,0.028537686609496193
0.49,0.07096382409355435,0.029036175906445624
0.5,0.0704688119741979,0.0295311880258021
0.51,0.06997725276123454,0.03002274723876544
0.52,0.06948912244352635,0.03051087755647363
0.53,0.06900439712638438,0.030995602873615604
0.54,0.06852305305934188,0.0314769469406581
0.55,0.06804506665683467,0.0319549333431653
0.56,0.06757041449689576,0.03242958550310422
0.57,0.0670990733198499,0.03290092668015007
0.58,0.06663102002700833,0.03336897997299165
0.59,0.06616623167936324,0.033833768320636726
0.6,0.06570468549628257,0.034295314503717395
0.61,0.06524635885420448,0.034753641145795496
0.62,0.064791229285332,0.035208770714667964
0.63,0.06433927447632776,0.035660725523672214
0.64,0.06389047226700843,0.036109527732991545
0.65,0.06344480064949051,0.03655519935050947
0.66,0.06300223782392265,0.03699776217607733
0.67,0.06256276213974575,0.03743723786025423
0.68,0.062126352063638576,0.0378736479363614
0.69,0.06169298621179044,0.03830701378820954
0.7,0.061262643348718414,0.038737356651281564
0.71,0.0608353023860845,0.03916469761391548
0.72,0.06041094238151278,0.039589057618487196
0.73,0.059989542537406584,0.040010457462593386
0.74,0.059571082199765674,0.040428917800234304
0.75,0.05915554085700337,0.0408444591429966
0.76,0.05874289813876377,0.041257101861236205
0.77,0.05833313381473887,0.0416668661852611
0.78,0.05792622779348577,0.04207377220651421
0.79,0.05752216012124379,0.04247783987875619
0.8,0.057120911077142206,0.04287908892285777
0.81,0.05672246089220412,0.04327753910779586
0.82,0.056326790144379815,0.04367320985562016
0.83,0.055933879443980115,0.04406612055601986
0.84,0.05554370953639567,0.0444562904636043
0.85,0.05515626130094079,0.04484373869905919
0.86,0.05477151574970522,0.04522848425029475
0.87,0.05438945402641404,0.045610545973585936
0.88,0.054010057405295506,0.045989942594704465
0.89,0.05363330728995702,0.046366692710042956
0.9,0.053259185212269036,0.04674081478773094
0.91,0.05288767283125708,0.04711232716874289
0.92,0.052518751932001756,0.04748124806799822
0.93,0.05215240442454678,0.0478475955754532
0.94,0.05178861236241438,0.04821138763758559
0.95,0.05142735801637938,0.04857264198362059
0.96,0.05106862370367376,0.04893137629632621
0.97,0.05071239184937591,0.049287608150624065
0.98,0.05035864500020217,0.0496413549997978
0.99,0.05000736582354814,0.04999263417645184
1.0,0.049658537106539447,0.050341462893460524
1.01,0.04931214175509234,0.05068785824490763
1.02,0.04896816279298365,0.05103183720701633
1.03,0.04862658336093049,0.05137341663906948
1.04,0.04828738671567952,0.05171261328432046
1.05,0.047950556229105726,0.05204944377089425
1.06,0.047616075387320954,0.05238392461267902
1.07,0.047283927789791874,0.0527160722102081
1.08,0.04695409714846763,0.05304590285153235
1.09,0.04662656728691706,0.05337343271308292
1.1,0.04630132213947555,0.05369867786052443
1.11,0.045978345750401384,0.05402165424959859
1.12,0.04565762227304181,0.054342377726958165
1.13,0.04533913596900863,0.054660864030991345
1.14,0.04502287120736336,0.054977128792636616
1.15,0.04470881246381208,0.05529118753618789
1.16,0.044396944319909794,0.055603055680090184
1.17,0.0440872514622744,0.05591274853772557
1.18,0.043779718681810305,0.05622028131818967
1.19,0.04347433087294156,0.05652566912705842
1.2,0.043171073109091525,0.05682892689090845
1.21,0.04286993065264409,0.05713006934735589
1.22,0.0425708887455617,0.05742911125443828
1.23,0.04227393273028623,0.05772606726971375
1.24,0.04197904805227204,0.058020951947727946
1.25,0.04168622025941011,0.05831377974058987
1.26,0.04139543500146431,0.05860456499853566
